Year,Sex,Value
2000,,46.0
2001,,49.0
2002,,50.8
2003,,47.5
2004,,50.3
2005,,45.8
2006,,46.6
2007,,44.9
2008,,46.4
2009,,44.1
2010,,51.1
2011,,49.0
2012,,44.2
2013,,45.6
2014,,46.0
2015,,46.5
2016,,42.1
2000,Males,43.9
2001,Males,48.4
2002,Males,46.9
2003,Males,44.9
2004,Males,47.2
2005,Males,42.0
2006,Males,44.8
2007,Males,43.6
2008,Males,41.4
2009,Males,39.9
2010,Males,47.8
2011,Males,41.8
2012,Males,42.3
2013,Males,44.4
2014,Males,43.0
2015,Males,45.4
2016,Males,44.3
2000,Females,48.8
2001,Females,49.7
2002,Females,54.9
2003,Females,50.4
2004,Females,53.8
2005,Females,51.0
2006,Females,48.9
2007,Females,46.6
2008,Females,51.9
2009,Females,48.3
2010,Females,54.6
2011,Females,58.5
2012,Females,47.3
2013,Females,47.1
2014,Females,49.7
2015,Females,47.5
2016,Females,40.2
